date,readiness_score_value,activity_subcomponent,sleep_subcomponent,hrv_subcomponent
2023-02-01,89.0,89.0,87.0,66.0
2023-01-31,13.0,100.0,13.0,63.0
2023-01-29,67.0,67.0,79.0,58.0
2023-01-28,50.0,50.0,72.0,45.0
2023-01-27,83.0,83.0,72.0,59.0
2023-01-26,78.0,78.0,90.0,43.0
2023-01-25,74.0,74.0,97.0,51.0
2023-01-24,63.0,63.0,96.0,40.0
2023-01-23,64.0,64.0,96.0,44.0
2023-01-22,57.0,57.0,90.0,77.0
2023-01-21,1.0,0.0,91.0,48.0
2023-01-20,1.0,0.0,96.0,51.0
2023-01-19,1.0,0.0,91.0,46.0
2023-01-18,21.0,21.0,92.0,43.0
2023-01-17,69.0,69.0,97.0,53.0
2023-01-16,22.0,22.0,96.0,48.0
2023-01-15,5.0,5.0,95.0,48.0
2023-01-14,1.0,0.0,82.0,38.0
2023-01-13,45.0,45.0,94.0,63.0
2023-01-12,33.0,33.0,67.0,39.0
2023-01-11,73.0,73.0,89.0,46.0
2023-01-10,87.0,87.0,94.0,50.0
2023-01-09,91.0,91.0,78.0,42.0
2023-01-08,21.0,81.0,21.0,57.0
2023-01-07,82.0,82.0,93.0,45.0
2023-01-06,75.0,75.0,92.0,51.0
2023-01-05,68.0,68.0,92.0,61.0
2023-01-04,88.0,88.0,95.0,61.0
2023-01-03,80.0,80.0,96.0,63.0
2023-01-02,42.0,42.0,53.0,39.0
2023-01-01,82.0,82.0,99.0,70.0